id;dispatch_time;task;participant;compiler;verdict;points;execution_time;memory
130294919;2024-12-18 22:21:22;B. Тележка;member92;C++20 (GCC 14.1);OK;100;2;2.1
130294655;2024-12-18 22:17:13;B. Тележка;member92;C++20 (GCC 14.1);WA2;59;2;2.2
130294554;2024-12-18 22:15:53;B. Тележка;member92;C++20 (GCC 14.1);WA38;97;2;2.2
130292449;2024-12-18 21:47:53;E. Электричка;member92;C++20 (GCC 14.1);OK;100;2;2.0
130292113;2024-12-18 21:43:25;E. Электричка;member92;C++20 (GCC 14.1);WA3;29;2;2.1
130214644;2024-12-17 20:17:45;E. Электричка;member93;Python 3.12.3;OK;100;35;4.4
130214207;2024-12-17 20:11:29;E. Электричка;member93;Python 3.12.3;WA3;36;35;4.4
130212901;2024-12-17 19:52:20;E. Электричка;member93;Python 3.12.3;WA2;15;35;4.4
129841962;2024-12-13 13:07:40;E. Электричка;member93;Python 3.12.3;RE3;36;36;4.4
129840405;2024-12-13 12:43:46;E. Электричка;member93;Python 3.12.3;PE2;15;35;4.4
129583045;2024-12-10 17:13:56;D. Ремонт путей;member93;Python 3.12.3;OK;100;36;4.3
129582676;2024-12-10 17:10:36;D. Ремонт путей;member93;Python 3.12.3;WA22;70;47;4.6
129581916;2024-12-10 17:04:12;D. Ремонт путей;member93;Python 3.12.3;WA22;70;36;4.3
129573747;2024-12-10 15:51:07;D. Ремонт путей;member93;Python 3.12.3;WA2;95;36;4.3
129310629;2024-12-07 15:30:41;С. Название маршрута;member92;C++20 (GCC 14.1);OK;100;21;18.6
129288033;2024-12-07 11:02:14;E. Электричка;member92;C++20 (GCC 14.1);RE3;36;2;2.2
129260179;2024-12-06 20:28:50;E. Электричка;member92;C++20 (GCC 14.1);PE2;15;3;2.1
129225905;2024-12-06 13:07:48;D. Ремонт путей;member93;Python 3.12.3;RE1;0;0;0
129222018;2024-12-06 12:26:33;С. Название маршрута;member93;Python 3.12.3;IG;100;36;4.3
129221535;2024-12-06 12:21:05;С. Название маршрута;member93;Python 3.12.3;IG14;91;35;4.4
129137269;2024-12-05 13:56:50;D. Ремонт путей;member84;Python 3.12.3;IG;100;36;4.3
129136774;2024-12-05 13:51:36;С. Название маршрута;member84;Python 3.12.3;IG2;73;36;4.3
